frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
246,161.21669,153.6235,168.19566,162.7355,95.974266,111.67655
247,157.33209,150.38426,167.29854,170.36322,94.45751,128.14722
248,155.49127,146.51137,164.88657,175.00974,91.76585,129.6483
249,151.51758,148.91121,165.82158,176.00467,88.4266,122.53393
250,154.83746,148.16415,170.21161,176.11455,89.63737,122.63424
251,151.9564,152.38634,160.36246,174.9109,85.99614,122.30577
252,151.45798,168.12553,164.06331,176.92807,84.970375,134.51907
253,146.42085,175.57494,158.67633,176.69814,83.44462,111.91732
254,136.1896,174.27133,159.12541,171.26071,83.53246,110.543434
255,170.84198,161.09258,172.9527,174.35631,91.31028,136.53816
256,167.02527,162.76787,170.75848,165.13127,87.97387,118.20654
257,168.47078,151.07684,172.19249,119.21884,85.236374,116.70194
258,158.75218,172.25644,168.64508,160.63864,80.69535,104.88243
259,161.14192,178.96428,175.02621,165.87714,80.109825,105.63012
260,158.81981,179.09021,173.09297,165.65025,79.31179,105.63011
261,159.11581,176.31389,177.50204,168.77534,78.0834,105.24473
262,160.87502,177.73488,179.18147,156.2294,77.184685,101.11034
263,157.29312,177.28783,179.49216,158.53262,77.787025,106.71536
264,152.44603,174.58983,177.33221,157.63724,78.74774,113.73306
265,148.94118,170.6567,172.94556,158.70605,83.35197,108.19916
266,143.07607,174.92761,171.82745,168.2627,91.547615,111.25628
267,138.7687,165.82169,168.29164,162.27512,100.788445,102.96835
268,121.41651,169.2319,171.0911,178.44064,111.36868,104.266235
269,133.02945,163.28265,171.00078,135.48363,122.034515,100.361984
270,118.541695,173.9473,170.43279,140.03206,116.28447,99.981224
271,107.07172,160.53497,164.88445,169.7559,113.80471,101.38189
272,123.588005,173.25888,164.16403,167.96832,114.14847,101.48909
273,131.95862,176.61076,163.92728,171.04079,115.7998,113.1421
274,141.28865,174.5715,169.89584,169.55989,107.707634,102.17397
275,132.41801,171.74303,163.87164,152.04262,97.90375,103.00345
276,148.60883,170.3595,177.92708,144.32018,101.69931,96.7521
277,140.61783,134.66203,156.21573,168.39154,97.261086,62.52281
278,166.83603,168.55145,164.94379,179.32275,93.06478,86.703606
279,173.83432,168.47574,162.91928,179.31186,93.44778,90.95506
280,175.91264,171.02641,165.64583,156.306,97.116196,91.05895
281,170.69609,169.85208,168.14157,169.17097,93.05747,89.45556
282,171.75412,169.12442,166.92233,172.25194,92.39351,90.31554
283,169.26854,167.6077,169.23383,175.32408,87.67769,90.47103
284,173.5824,163.1693,164.78221,178.07338,85.823906,89.72068
285,173.4131,163.24632,167.09546,173.47789,88.432106,91.77418
286,176.4902,158.13475,161.71672,177.97638,97.378,96.64477
287,179.56747,150.93427,166.12401,175.10019,98.011566,107.46684
288,177.64989,148.01898,161.06834,179.72803,96.178795,125.37315
289,177.48595,143.96596,165.48138,177.21835,93.41657,135.41016
290,176.29048,143.51657,167.56325,175.89233,86.855095,144.46478
291,172.97467,140.84497,166.85352,179.40883,81.952065,151.54747
292,170.17538,137.50757,166.38182,172.14142,78.665596,150.94467
293,170.42566,137.92041,166.96558,172.91876,73.660706,153.45921
294,169.13629,139.71623,167.44919,171.39362,74.03796,146.43706
295,169.27965,143.53856,169.61894,168.46358,71.97997,144.2486
296,167.49052,152.42055,166.8453,170.39296,75.324,103.02181
297,167.96622,161.99867,171.37993,175.27046,75.71288,102.44654
298,167.66522,170.18906,176.72475,178.36385,81.450386,119.06713
299,169.17847,172.88828,174.55338,170.57812,77.16728,122.55314
300,173.53073,169.5736,176.73349,168.67323,78.60614,109.9672
301,171.21306,177.88945,176.84991,167.0672,75.16467,106.84762
302,173.3932,175.13043,179.86583,163.43813,75.228874,93.06498
303,174.17787,175.03319,179.36633,155.62611,72.02407,85.18984
304,173.36893,178.97473,178.34695,157.3003,73.73613,89.07593
